id,date,text,author_name,retweets,likes
8.66587363002253E+017,Mon May 22 15:01:42 IST 2017,RT @mipaltan: From one #MILegend to another. #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/nZY6ZblEjk,InHopeToGetYou,0,0
8.66587365166514E+017,Mon May 22 15:01:42 IST 2017,RT @Dinu_Akshii: 12th man for #MI Thalaivaa u r great 😂😂😂 #IPLfinal https://t.co/AR1q4OPmzl,danielharidx97,0,0
8.66587367447998E+017,Mon May 22 15:01:43 IST 2017,RT @SirPareshRawal: We have a wide variety of choices ! https://t.co/rpciWyhLha,BeingSachinDg,0,0
8.66587372774982E+017,Mon May 22 15:01:44 IST 2017,RT @mipaltan: #Dabbing the night away! 🤜🤛 #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/d7Cn6qSZPu,InHopeToGetYou,0,0
8.66587384099557E+017,Mon May 22 15:01:47 IST 2017,"RT @mipaltan: ""The Pandya brothers are special!"" - #RohitSharma Indeed they are, Rohit. 💙 #CricketMeriJaan #IPLfinal #BELI3VE https://t.c…",InHopeToGetYou,0,0
8.66587398523818E+017,Mon May 22 15:01:50 IST 2017,"RT @callmebreather: Mumbai Indians now be like, dancing on this song. #IPLfinal #RPSvMI https://t.co/XYnvQMidwh",SonalKaur5,0,0
8.66587403309507E+017,Mon May 22 15:01:52 IST 2017,RT @HelloPathak: Winning a match by 1 run is like passing the exam with 33 marks! Only a student can understand the pleasure! 😁 Well play…,Saurabh18091989,0,0
8.6658740658108E+017,Mon May 22 15:01:52 IST 2017,"RT @mipaltan: 2⃣ legends, 3⃣ @IPL titles each! 😍🏆😍🏆😍🏆 #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/tmLG9aFmcY",InHopeToGetYou,0,0
8.66587409265422E+017,Mon May 22 15:01:53 IST 2017,"RT @callmebreather: So Mukesh Ambani, now treat us with an another year of free JIO data and calls. #IPLfinal #RPSvMI",SonalKaur5,0,0
8.66587416127128E+017,Mon May 22 15:01:55 IST 2017,"RT @rameshsrivats: #RPSvMI #IPLfinal Superb picture of the IPL trophy, being held by Malinga, and other people who didn't play in th…",narayanantweaks,0,0
8.66587416806773E+017,Mon May 22 15:01:55 IST 2017,"RT @mipaltan: Paltan, you can read this over and over again - how we won the #IPLfinal💙💙💙 All here 👉 https://t.co/HCk0vroLD1…",InHopeToGetYou,0,0
8.66587418979213E+017,Mon May 22 15:01:55 IST 2017,RT @SirJadeja: Mumbai Indians Wins The #IPLFinal With Just 1 Run. What A Match. Happy For #Goenka.😂😂 #IPL #MSDhoni #RPSvsMI #RPSvMI #MIvRP…,imAambat,0,0
